rank,물품코드,물품명,usage_qty,unit_price,value_share,cumulative_share,abc_class,ved_class
77,W693902390,셀미스타정40/5밀리그램((주)셀트리온제약)-1정,705601.5,0.0,0.0019102087550930487,0.4364510869759361,A,
78,WA00357621,바로디핀정(신풍제약)-1정,694571.0,0.0,0.0018803469171107686,0.43833143389304685,A,
79,W669604870,니자탄캡슐150밀리그램(니자티딘)_(0.15g/1캡슐)((주)아이월드제약)-1캡슐,691876.0,0.0,0.0018730509964034348,0.4402044848894503,A,
80,WA36705661,세자르정50mg(삼익제약)-1정,685361.0,0.0,0.0018554135480144628,0.44205989843746474,A,
81,W052401750,아이리토정10밀리그램(아토르바스타틴칼슘삼수화물)_(10.85mg/1정)((주)인트로바이오파마)-1정,677496.0,0.0,0.0018341213712563254,0.44389401980872106,A,
82,WE01890381,노바스크정5mg(한국화이자)-1정,677410.5,0.0,0.0018338899051262784,0.44572790971384735,A,
83,W658107210,파모나정20밀리그램(파모티딘)_(20mg/1정)((유)한풍제약)-1정,672838.5,0.0,0.001821512558382705,0.44754942227223005,A,
84,WA13100831,뮤코졸정(부광약품)-1정,666956.25,0.0,0.0018055880947163917,0.4493550103669464,A,
85,WMD0325132,INH,664328.0,0.0,0.0017984728800228668,0.4511534832469693,A,
86,WA13101421,뮤코론375mg캅셀(부광약품)-1캅셀,658799.0,0.0,0.0017835047369464852,0.4529369879839158,A,
87,WA29555171,휴온스시메티딘정200mg(휴온스)-1정,644078.0,0.0,0.0017436519544853867,0.4546806399384012,A,
88,W658501860,바르사르정80mg(발사르탄)(익수제약(주))-1정,642884.5,0.0,0.0017404209038864246,0.4564210608422876,A,
89,W642905750,투탑스정40/5밀리그램(일동제약(주))-1정,641751.0,0.0,0.0017373522856594255,0.45815841312794703,A,
90,W647302690,시암로핀정(암로디핀베실산염)_(6.944mg/1정)(에이치엘비제약(주))-1정,637797.0,0.0,0.0017266479923470702,0.4598850611202941,A,
91,WMD0325695,임산부철분제(의약품),626790.0,0.0,0.0016968497737104753,0.4615819108940046,A,
92,WA13302211,에페리젠정(뉴젠팜)-1정,621688.0,0.0,0.0016830376076812298,0.4632649485016858,A,
93,WA06652501,메트로정500mg(한국알리코팜)-1정,620075.5,0.0,0.0016786722376847267,0.46494362073937057,A,
94,W684500350,다이제스토정(1정)(화일약품(주))-1정,614733.0,0.0,0.0016642089885645299,0.4666078297279351,A,
95,W658501960,엑스포스정5/80밀리그램(익수제약(주))-1정,614275.5,0.0,0.0016629704417283127,0.4682708001696634,A,
96,WA08602191,파티겔정(태극제약)-1정,613614.5,0.0,0.0016611809784305214,0.4699319811480939,A,
97,WA30603941,바로스크정5밀리그람(베실산암로디핀)_(6.944mg/1정)(현대약품(주))-1정,611355.5,0.0,0.001655065399626118,0.47158704654772005,A,
98,W698003380,아니스펜8시간이알서방정(아세트아미노펜)_(0.65g/1정)((주)제뉴파마)-1정,597347.0,0.0,0.0016171415015820791,0.47320418804930214,A,
99,W658501780,테라포스정2밀리그램(테라조신염산염수화물)(익수제약(주))-1정,595224.5,0.0,0.0016113954564238914,0.47481558350572606,A,
100,W693901040,코살정(로자탄칼륨)((주)셀트리온제약)-1정,584177.5,0.0,0.0015814889495393213,0.47639707245526536,A,
101,W644603910,듀얼아미정40/5mg_(1정)(조아제약(주))-1정,583822.0,0.0,0.001580526537735441,0.4779775989930008,A,
102,W670104251,레보솔시럽(레보드로프로피진)_(3g/500mL)(우리들제약(주))-500(1)mL/병,576204.8,0.0,0.0015599052066735107,0.4795375041996743,A,
103,W698000230,파라리딘정20밀리그람(파모티딘)_(20mg/1정)(콜마파마(주)),568987.0,0.0,0.0015403651337676132,0.4810778693334419,A,
104,WA66350391,넥스팜염산암부록솔정(넥스팜코리아)-1정,566402.5,0.0,0.0015333683593453111,0.4826112376927872,A,
105,W689000260,마겐정(알마게이트)_(0.5g/1정)((주)시어스제약)-1정,560525.0,0.0,0.001517456754908445,0.48412869444769563,A,
106,W689000550,레보테크정(레보드로프로피진)_(60mg/1정)((주)시어스제약)-1정,543177.0,0.0,0.0014704921417615707,0.4855991865894572,A,
107,WA06653921,스테린정(한국알리코팜)-1정,541874.0,0.0,0.0014669646520837764,0.487066151241541,A,
108,W647603230,헤모퀸골드엠캡슐(1캡슐)(경남제약(주))-1캡슐,535258.0,0.0,0.0014490537758686667,0.4885152050174097,A,
109,WMD0316787,베아제정(대웅제약)-1정(보훈급여),532370.0,0.0,0.0014412353643648522,0.48995644038177455,A,
110,W621802860,파비스파모티딘정(파모티딘)_(20mg/1정)((주)한국파비스제약)-1정,532035.0,0.0,0.0014403284502880595,0.4913967688320626,A,
111,WA16600571,로프민캅셀(영일제약)-1캡슐,520503.0,0.0,0.0014091089483967893,0.4928058777804594,A,
