rprsntDtilPrdctClsfcNo,rprsntDtilPrdctClsfcNoNm,n,mean,p25,median,p75,p90
3017989801,금속문세트,4,142.2,25.0,106.0,223.25,297.5
3210152801,통신용변조기,4,107.2,60.0,60.0,107.25,192.30000000000004
4010170801,팬코일유닛,4,60.0,60.0,60.0,60.0,60.0
4713170701,핸드드라이어,4,30.0,30.0,30.0,30.0,30.0
4010186601,온풍난방기,4,36.8,36.75,40.0,40.0,40.0
4323250501,교육용소프트웨어,3,33.3,20.0,20.0,40.0,52.0
4920160303,레그컬머신,3,60.3,60.0,60.0,60.5,60.8
3912180101,빌딩자동제어장치,3,243.0,194.0,225.0,283.0,317.8
4810209702,식판배분대,3,72.7,40.0,40.0,89.0,118.4
4810209601,상업용싱크대,3,55.3,40.0,40.0,63.0,76.80000000000001
3912110701,가로등자동점멸기,3,262.0,220.0,237.0,291.5,324.2
3912110401,전동기제어반,3,215.3,188.5,223.0,246.0,259.8
4920169701,야외운동기구,3,200.3,150.5,241.0,270.5,288.2
4920160510,업도미널머신,3,60.0,60.0,60.0,60.0,60.0
3020170502,흡연부스,3,45.3,45.0,45.0,45.5,45.8
3016170201,플로어링보드,3,221.3,167.5,242.0,285.5,311.6
4511170701,결선보드유닛,3,55.7,39.5,60.0,74.0,82.4
4511170501,구내방송장치,3,42.0,11.0,11.0,57.5,85.4
4512160902,카메라브래킷,3,72.0,60.0,60.0,78.0,88.8
4110351701,생물안전작업대,3,30.0,30.0,30.0,30.0,30.0
2410151101,다단식운반차,3,40.3,40.0,40.0,40.5,40.8
2410150301,돌리,3,40.0,40.0,40.0,40.0,40.0
2517389601,전달변속기조립체,3,210.0,210.0,210.0,210.0,210.0
5610170201,파일링캐비닛,3,30.0,30.0,30.0,30.0,30.0
5610160101,파라솔,3,30.0,30.0,30.0,30.0,30.0
3012170301,알루미늄제교량난간,3,104.7,84.0,138.0,142.0,144.4
3010990201,혼합골재,3,155.7,58.5,77.0,213.5,295.4
3013159601,특수블록,3,129.3,87.0,87.0,150.5,188.60000000000002
5612109901,이동식서가,3,47.0,30.0,30.0,55.5,70.80000000000001
2611160101,디젤발전기,3,123.0,90.5,91.0,139.5,168.60000000000002
3012178801,낙석방지책,3,84.0,68.0,106.0,111.0,114.0
3012179401,볼라드,3,25.7,23.5,30.0,30.0,30.0
5216152101,방송수신기,3,60.0,60.0,60.0,60.0,60.0
4321200101,컴퓨터용보안기,2,30.0,30.0,30.0,30.0,30.0
4014239601,비압력용경질폴리염화비닐이음관,2,36.0,18.5,36.0,53.5,64.0
4323210201,그래픽소프트웨어,2,30.0,30.0,30.0,30.0,30.0
4618169501,기동화,2,60.0,60.0,60.0,60.0,60.0
4218229901,적외선체온계,2,29.5,19.75,29.5,39.25,45.1
8111159801,패키지소프트웨어개발및도입서비스,2,90.5,90.25,90.5,90.75,90.9
2410168909,차량차단기,2,90.0,90.0,90.0,90.0,90.0
5612150601,학생용책상,2,30.0,30.0,30.0,30.0,30.0
1017999901,토양개량제,2,71.0,50.5,71.0,91.5,103.8
8111151301,인프라클라우드서비스(IaaS),2,186.5,108.25,186.5,264.75,311.7
5216161101,마이크스탠드,2,81.5,79.75,81.5,83.25,84.3
3013151401,조립식철근콘크리트암거블록,2,72.0,43.0,72.0,101.0,118.4
5216153301,메가폰,2,60.0,60.0,60.0,60.0,60.0
3013160201,점토바닥벽돌,2,69.5,49.25,69.5,89.75,101.9
3012999701,도막형바닥재,2,44.5,37.25,44.5,51.75,56.1
2411189701,온수탱크,2,199.0,119.5,199.0,278.5,326.2
5611160201,OA칸막이용보관함,2,30.0,30.0,30.0,30.0,30.0
5132020901,기타의진단용약,2,30.0,30.0,30.0,30.0,30.0
4920160503,윗몸일으키기대,2,60.0,60.0,60.0,60.0,60.0
4920160504,버터플라이머신,2,60.0,60.0,60.0,60.0,60.0
3012171301,주철맨홀뚜껑,2,126.5,78.25,126.5,174.75,203.70000000000002
3016160102,벽천장용흡음재,2,221.0,177.5,221.0,264.5,290.6
3015200106,가설재울타리,2,104.0,56.0,104.0,152.0,180.8
3023160202,기타이동식화장실,2,99.0,86.5,99.0,111.5,119.0
3022206401,자전거보관대,2,178.5,114.25,178.5,242.75,281.3
4920160511,스미스머신,2,60.0,60.0,60.0,60.0,60.0
3911200101,조명타워,2,291.5,264.25,291.5,318.75,335.1
4920160505,암컬머신,2,60.0,60.0,60.0,60.0,60.0
4920160508,랫풀다운머신,2,60.5,60.25,60.5,60.75,60.9
3912161001,서지흡수기,2,163.5,119.25,163.5,207.75,234.3
4810179901,정수기,2,178.0,158.0,178.0,198.0,210.0
4010189402,온수난방패널,2,38.0,29.0,38.0,47.0,52.4
4810180901,국솥,2,40.0,40.0,40.0,40.0,40.0
4810171401,온수제조기,2,24.5,18.75,24.5,30.25,33.7
4014212301,파형강관,2,176.0,103.0,176.0,249.0,292.8
4014210901,원심력철근콘크리트관,2,39.0,20.0,39.0,58.0,69.4
4014179501,밸브실,2,121.0,61.5,121.0,180.5,216.20000000000002
5612200202,약품장,2,59.0,44.5,59.0,73.5,82.2
4321171101,스캐너,2,15.0,15.0,15.0,15.0,15.0
4321159301,일체형컴퓨터,2,30.0,30.0,30.0,30.0,30.0
7611159902,에어컨세척서비스,2,30.0,30.0,30.0,30.0,30.0
4225160301,정형용운동장치,2,14.0,14.0,14.0,14.0,14.0
4218302101,영상시력측정기,2,58.5,51.75,58.5,65.25,69.3
4617161901,출입통제시스템,2,137.5,98.75,137.5,176.25,199.5
4214210502,의료용온열기,2,44.0,37.0,44.0,51.0,55.2
4618200301,전시용방독면,2,60.0,60.0,60.0,60.0,60.0
4619159601,단독경보형감지기,2,30.0,30.0,30.0,30.0,30.0
4710150601,부식억제장비,2,30.0,30.0,30.0,30.0,30.0
4512150401,디지털카메라,1,12.0,12.0,12.0,12.0,12.0
4219909801,혈액냉동고,1,30.0,30.0,30.0,30.0,30.0
4320161901,냉각팬,1,19.0,19.0,19.0,19.0,19.0
4320180201,디스크어레이,1,30.0,30.0,30.0,30.0,30.0
4320182701,휴대용하드디스크저장장치,1,10.0,10.0,10.0,10.0,10.0
4511181001,실물화상기,1,15.0,15.0,15.0,15.0,15.0
4616159701,시선유도봉,1,30.0,30.0,30.0,30.0,30.0
7215139801,로봇페인팅서비스,1,30.0,30.0,30.0,30.0,30.0
4322281701,무선중계기,1,60.0,60.0,60.0,60.0,60.0
2318199802,일반용음식물쓰레기처리기,1,30.0,30.0,30.0,30.0,30.0
2318150601,세미기,1,40.0,40.0,40.0,40.0,40.0
2410150101,카트,1,88.0,88.0,88.0,88.0,88.0
2410168903,차량인식기,1,90.0,90.0,90.0,90.0,90.0
4322281805,통합배선반,1,198.0,198.0,198.0,198.0,198.0
4323350601,지도소프트웨어,1,30.0,30.0,30.0,30.0,30.0
4322333901,광분배함,1,60.0,60.0,60.0,60.0,60.0
4323260501,분석및과학용소프트웨어,1,30.0,30.0,30.0,30.0,30.0
4323300101,시스템관리소프트웨어,1,30.0,30.0,30.0,30.0,30.0
4321170801,유선마우스,1,37.0,37.0,37.0,37.0,37.0
4322179701,송신기,1,278.0,278.0,278.0,278.0,278.0
4511176701,리모트앰프,1,147.0,147.0,147.0,147.0,147.0
4712180501,고압세척기,1,60.0,60.0,60.0,60.0,60.0
4111250401,수도미터,1,45.0,45.0,45.0,45.0,45.0
4111179801,멀티미디어영상현미경,1,10.0,10.0,10.0,10.0,10.0
4110350201,실험실용배기기,1,30.0,30.0,30.0,30.0,30.0
4014239604,일반용경질폴리염화비닐제부속품,1,322.0,322.0,322.0,322.0,322.0
4110341501,무균대,1,30.0,30.0,30.0,30.0,30.0
4619168301,소방용펌프,1,229.0,229.0,229.0,229.0,229.0
4014218502,압력용경질폴리염화비닐관,1,201.0,201.0,201.0,201.0,201.0
4619161201,등짐펌프,1,30.0,30.0,30.0,30.0,30.0
4616157001,도로안전표지판지주,1,60.0,60.0,60.0,60.0,60.0
4616152901,시각장애인용음성안내기,1,40.0,40.0,40.0,40.0,40.0
3911169701,태양광가로등,1,80.0,80.0,80.0,80.0,80.0
4924159601,기타조경시설물,1,180.0,180.0,180.0,180.0,180.0
3020170501,이동식초소,1,45.0,45.0,45.0,45.0,45.0
3912100104,유입변압기,1,70.0,70.0,70.0,70.0,70.0
3912100101,몰드변압기,1,70.0,70.0,70.0,70.0,70.0
4810161502,초음파식기세척기,1,40.0,40.0,40.0,40.0,40.0
4810210301,냉장진열장,1,30.0,30.0,30.0,30.0,30.0
4010180603,지열히트펌프,1,198.0,198.0,198.0,198.0,198.0
